1,1,7,1,10,1,154,2/24/2017,3/3/2017
1,1,7,1,10,2,6,6/1/2017,6/12/2017
1,1,7,1,11,1,39,1/29/2017,2/9/2017
1,1,7,1,11,2,84,5/24/2017,5/30/2017
1,1,7,1,12,1,11,1/26/2017,2/9/2017
1,1,7,1,12,2,21,7/27/2017,8/3/2017
1,1,7,1,13,1,200,1/8/2017,1/13/2017
1,1,7,1,13,2,41,6/13/2017,6/19/2017
1,1,7,1,24,1,197,1/23/2017,2/3/2017
1,1,7,1,24,2,160,6/21/2017,6/25/2017
1,2,7,1,10,1,54,2/25/2017,3/3/2017
1,2,7,1,10,2,167,5/1/2017,5/5/2017
1,2,7,1,11,1,199,1/19/2017,1/24/2017
1,2,7,1,11,2,163,6/26/2017,7/6/2017
1,2,7,1,12,1,40,2/20/2017,2/22/2017
1,2,7,1,12,2,42,5/23/2017,5/28/2017
1,2,7,1,13,1,86,3/10/2017,3/14/2017
1,2,7,1,13,2,183,6/7/2017,6/15/2017
1,2,7,1,24,1,189,1/18/2017,2/1/2017
1,2,7,1,24,2,108,6/2/2017,6/6/2017
1,3,7,1,10,1,8,1/22/2017,1/28/2017
1,3,7,1,10,2,12,5/24/2017,6/4/2017
1,3,7,1,11,1,88,1/4/2017,1/6/2017
1,3,7,1,11,2,168,6/13/2017,6/25/2017
1,3,7,1,12,1,80,2/8/2017,2/21/2017
1,3,7,1,12,2,100,5/8/2017,5/18/2017
1,3,7,1,13,1,162,1/25/2017,2/1/2017
1,3,7,1,13,2,14,7/15/2017,7/28/2017
1,3,7,1,24,1,147,3/16/2017,3/27/2017
1,3,7,1,24,2,20,7/18/2017,7/22/2017
1,4,7,1,10,1,5,3/24/2017,3/27/2017
1,4,7,1,10,2,52,6/2/2017,6/10/2017
1,4,7,1,11,1,79,3/29/2017,4/9/2017
1,4,7,1,11,2,23,7/7/2017,7/18/2017
1,4,7,1,12,1,129,3/15/2017,3/22/2017
1,4,7,1,12,2,38,6/24/2017,6/27/2017
